uniqid,researchteam_member,workteam_member,pi,group_id,researchgroup,institution
12348,Guille Recio Diaz,,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,Rosa Lopez Casas,,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,Guille Hayo Mezo,,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,Loisa Feliu Yate,,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,Antonio Jesús López de la Iglesia,,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,,Bernardo Haya Noi,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,,Neli Hedia Nogal,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,,Loisa Feliu Yate,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,,Belen Nove Burgo,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
12348,,Antonio Jesús López de la Iglesia,Antonio Jesús López de la Iglesia,grupo_12,nombreIP_nombregrupo,INIA-CSIC
